"","territory","(Intercept)","forest_pro","tri5","clip_dem","main25m","X2nd25m","cov_build","closest2"
"Djurskog_2004_w","Djurskog_2004_w",-0.00320943348135687,0.0322911662625302,0.149477955809212,0.0146651507266715,0.0844694263256539,-0.203345796866954,-0.391529374427796,0.539462385683076
"Uttersberg_2005_s","Uttersberg_2005_s",-0.0157812259325967,0.342285829471909,0.0713329039337383,0.14689727965639,0.174205008017855,0.0857664581304933,0.362032264217628,0.146989616303061
"Uttersberg_2005_w","Uttersberg_2005_w",-0.01902886763176,0.496486755316123,0.245704606981791,-0.278508042610419,-0.222502152428871,0.197451480260954,-0.310822553148708,0.717629696522612
"Uttersberg_2006_w","Uttersberg_2006_w",-0.00597960230139047,0.352808120893012,-0.0249841984308928,-0.130569391507071,-0.276719614724028,0.15787877126328,-0.475284777171739,0.381695314036955
"Forshyttan_2005_s","Forshyttan_2005_s",-0.0572790337275036,0.353182807853343,-0.35323989358157,-0.792244049926625,0.014274163139561,-0.00867875148512771,-0.457272988061218,0.474311488923092
"Jangen_2004_w","Jangen_2004_w",0.000610305530947553,0.104102381590091,0.189172104147888,-0.444019581189466,0.483968760020458,0.0878330221570133,0.653073198140813,-0.12534661898689
"Kloten_2008_w","Kloten_2008_w",-0.0074344914752885,-0.106978493063738,0.111593396124415,0.283762547818469,0.0803729460424868,0.208785518741401,-0.323362583578617,0.669011331747502
"Kloten_2010_w","Kloten_2010_w",0.00340592844961427,0.0419753933787591,0.226764158396985,0.357743373581591,0.191174761188935,0.147147395285148,0.180687477420979,0.114824317883868
"Kukumaki_2014_s","Kukumaki_2014_s",-0.14149987878038,0.383935628405088,0.345639094635665,-0.461017654087961,0.019723303543594,0.628815490535293,-1.77635608520294,1.15524550652647
"Nyskoga_2003_s","Nyskoga_2003_s",-0.0178251010674093,0.456270040210138,0.721216186258111,-0.867010994706812,1.32718393257142,0.270217254445082,1.00931527046507,-0.753704210972178
"Nyskoga_2004_w","Nyskoga_2004_w",-0.0778305797605987,0.328563652219068,0.277365709976786,-1.08148778438507,0.617981582551919,0.0926176699265824,-0.0435508201366069,-0.0836962528560593
"Riala_2010_w","Riala_2010_w",-0.0455960289335526,0.311103621586572,0.235263154457399,0.542890633267521,0.411556711578506,0.419443624415661,-1.40842749588007,1.77978842827431
"Stadra_2003_w","Stadra_2003_w",-0.0250930394998806,0.635085282874582,-0.142918944975449,0.0368241593786497,0.103913091732003,0.194364802718639,-0.668109914134995,0.606128444208467
"Tandsjon_2014_s","Tandsjon_2014_s",-0.128300508615331,0.233461688664609,0.871661962509323,-0.109017925917925,-0.707138234504241,-0.450041844260562,-0.138771102866115,1.06302057347226
"Tandsjon_2014_w","Tandsjon_2014_w",-0.0602562310615659,0.381234303529595,0.132414737000036,-1.1228904694352,0.331710652215312,-0.18257161422032,0.150978421067947,-0.295385892338511
"Tenskog_2010_w","Tenskog_2010_w",0.0142682380071818,0.257781785230429,0.973163407637892,-0.290729426530436,0.937599598233179,0.431961883348473,0.441962150820724,-0.351099915371336
"Ulriksberg_2006_w","Ulriksberg_2006_w",0.0091362381670153,0.118610709820715,0.357891793333267,-0.0120295627911194,-0.119731210200191,-0.0230560054748108,0.24606502889834,0.308078525749097
