"","territory","(Intercept)","forest_pro","tri5","clip_dem","main25m","X2nd25m","cov_build","closest"
"Forshyttan_2005_s","Forshyttan_2005_s",-0.0525272675642176,0.349606481584774,-0.347686649153401,-0.819051895846412,0.154506876364602,-0.0147230275903777,-0.0926063596817926,-0.00415511496370033
"Jangen_2004_w","Jangen_2004_w",-0.0084193163416606,0.0899548687863278,0.185079481103333,-0.487320762968202,0.442499394636877,-0.431992405672131,0.47083308406267,0.575087141396821
"Kloten_2008_w","Kloten_2008_w",-0.0117349886399313,-0.107410626295456,0.114610790728565,0.32388140778766,0.174176785470743,-0.597896558173444,0.117167210130878,0.893901622493982
"Kloten_2010_w","Kloten_2010_w",0.00140091158704619,0.0372882127286017,0.226607262349594,0.376780957114537,0.237024532549448,0.276936653147325,0.279611752539931,-0.146388839799654
"Kukumaki_2014_s","Kukumaki_2014_s",-0.0384599037042564,0.399068583465534,0.364544549235632,-0.553262410250435,0.173436568931157,0.0348361381534775,-0.588684170803625,0.643295944916555
"Nyskoga_2003_s","Nyskoga_2003_s",-0.0276668541960381,0.461320988812012,0.62806294836739,-0.887261027929194,1.16099876040875,0.48859067590833,0.400906612353241,-0.189991201220228
"Nyskoga_2004_w","Nyskoga_2004_w",-0.0862945904687501,0.334371149728229,0.242469547375464,-1.04729515017961,0.565768125561683,-0.249990498156396,-0.199253507282268,0.402261981499761
"Riala_2010_w","Riala_2010_w",0.000589574657242362,0.237249154500882,0.199072723446054,0.638814539421931,0.444850710659346,-0.117567195608688,0.00907841097212824,0.851602292588748
"Stadra_2003_w","Stadra_2003_w",-0.0310121706050505,0.621494074697787,-0.145645845413586,0.00549611886665753,0.125861741956945,-0.467314010773364,-0.273245343763703,0.802031296035997
"Tandsjon_2014_s","Tandsjon_2014_s",-0.130508742971417,0.27653195531667,0.940106032192027,-0.138272411635925,-0.35316975236947,-1.25914271450007,0.632399617623301,0.774538549301282
"Tandsjon_2014_w","Tandsjon_2014_w",-0.0588423064202359,0.399643014582132,0.108297248809044,-1.13741230539748,0.230684920712534,-0.30579055667996,-0.07981832494231,0.137610249404312
"Tenskog_2010_w","Tenskog_2010_w",0.00473799535602167,0.264443919336545,0.943616935618848,-0.323884583830095,0.770041037847448,-0.257307951413028,0.0590313242085321,0.740652686837921
"Ulriksberg_2006_w","Ulriksberg_2006_w",0.0074797854609971,0.12005089432071,0.341825302888893,-0.000168655050600106,-0.0107385182438126,-0.0835413142563073,0.450961988631566,0.0661268428261965
"Kukumaki_2014_w","Kukumaki_2014_w",-0.0350404242347331,0.513820196855505,0.141909905213227,-0.568874795593081,-0.0873816071192088,-0.0711667042921175,0.171326348695501,-0.0975771501786832
"Bograngen_2003_s","Bograngen_2003_s",0.00327050255269531,-0.0978920289764495,0.331574849102985,0.0609260862358631,-0.0238404546911672,-0.21495189315896,0.266455629088026,0.249648322109807
"Fulufjallet_2009_w","Fulufjallet_2009_w",-0.0301757282698812,0.561947259127451,0.165567320676953,-0.63180144787082,0.633411725264795,-0.267499537030259,0.12794991733659,0.259466499608902
"Glaskogen_2002_s1","Glaskogen_2002_s1",0.00225630255989055,0.300660145994561,-0.266787144305204,0.360532794194533,0.734818096591253,-0.445420412127267,-0.0316119815136263,0.376250632407548
"Glaskogen_2002_s2","Glaskogen_2002_s2",-0.0172987906232246,0.386868621658351,0.124583801637743,-0.331882638772442,0.410131282377243,-0.395280732384917,0.153185495398733,0.338776741174429
"Glaskogen_2002_s3","Glaskogen_2002_s3",-0.0778162784427234,0.601929904838229,0.327655187115398,0.817386386496684,-0.578634826965152,-0.557837185481117,-0.160241621650449,0.978120411992021
"Kukumaki_2015_w","Kukumaki_2015_w",-0.015302839020617,0.141787096959158,0.502829747098958,-0.50663923690444,0.0785446652026046,-0.730037880152878,0.0375916056031821,0.584275327465962
"Kukumaki_2015_s","Kukumaki_2015_s",-0.0352589039188183,0.351741535545109,0.28458793955896,0.316163328477109,0.314145064300739,-0.235922069563235,0.323618402804721,0.0962918355323834
"Aspafallet_2015_w","Aspafallet_2015_w",-0.0238252425385858,0.295220473953426,0.313414470000342,-0.138972492110397,0.186590624302224,-0.584550665264005,0.39750403872819,0.698862722181405
"Aspafallet_2015_s","Aspafallet_2015_s",0.0065153571074236,0.364159177675234,-0.144904647537094,-0.00746782638545835,-0.0743603075429492,-0.0791007423219787,0.664039839094899,0.263608769470739
