winter	year	nb_in_report	nb_in_fig1	social_status	territory	county	country	NA	X	Y	name_in_Olof_file	ID_M	ID_F	F	abreviation_pedigree	date_collaring_M	date_collaring_F	marked_date_M	Last_radio_contact_M	marked_date_F	Last_radio_contact_F	territory	ID_M	ID_F	F	abreviation_pedigree	Birth_territory_male	Birth_territory_female	Birth_date_male	birth_date_female	F_male	F_female	Birth_date_male_(Olle)	birth_date_female_(Olle)	Komment	Death_Causes	ID_of_the_dead_one	Management_decisions_	Turnover_during_the_winter	Year_of_established_pairing	Left	Repr_ngn_gang	repro(green_color)_	First_litter	digit_min	digit_max	First_repro_(yellow)	Pair(letterP)	Blood_(b)_	Radio_collar(red)	pair_intact_end_winter_	Immigrants_status	Line	remarks																																																									
2010/11	2010	NA	26	pack	Gasborn	NA	S	NA	6629941	466681	Gasborn_1	G27-11	G6-11	0.1267	Gas	NA	NA	NA	NA	NA	NA	Gasborn_1	G27-11	G6-11	0.126678	Gas	Sil	Kyn2	NA	2008	0.227051	0	NA	2008	NA	0	0	0	0	2009	NA	1	1	1	4	0	1	0	1	0	1	F1	Ky																																																										
2011/12	2011	NA	23	pack	Gasborn	NA	S	NA	6651175	472779	Gasborn_1	G27-11	G6-11	0.1267	Gas	NA	NA	NA	NA	NA	NA	Gasborn_1	G27-11	G6-11	0.126678	Gas	Sil	Kyn2	NA	2008	0.227051	0	NA	2008	NA	0	0	0	0	2009	0	1	1	0	8	0	0	0	0	0	1	F1	Ky																																																										
1994/95	1994	NA	NA	scent_marking_pair	Hagfors	NA	NA	NA	6672516	445189	Hagfors_2	M-98-02	M-98-03	0.1250	Hag2	1998-12-15	1998-12-15	1998-12-14	1999-01-08	1998-12-14	1999-08-16	Hagfors_2	M-98-02	M-98-03	0.125	Hag2	Ny4	Gh	1991	1993	0.375	0	NA	NA	NA	0	0	0	0	1994	NA	1	0	NA	2	2	NA	NA	NA	NA	NA																																																												
1995/96	1995	NA	NA	pack	Hagfors	NA	NA	NA	6672516	445189	Hagfors_2	M-98-02	M-98-03	0.1250	Hag2	1998-12-15	1998-12-15	1998-12-14	1999-01-08	1998-12-14	1999-08-16	Hagfors_2	M-98-02	M-98-03	0.125	Hag2	Ny4	Gh	1991	1993	0.375	0	NA	NA	NA	0	0	0	0	1994	NA	1	1	1	9	9	NA	NA	NA	NA	NA																																																												
1996/97	1996	NA	NA	pack	Hagfors	NA	NA	NA	6672516	445189	Hagfors_2	M-98-02	M-98-03	0.1250	Hag2	1998-12-15	1998-12-15	1998-12-14	1999-01-08	1998-12-14	1999-08-16	Hagfors_2	M-98-02	M-98-03	0.125	Hag2	Ny4	Gh	1991	1993	0.375	0	NA	NA	NA	0	0	0	0	1994	NA	1	1	0	9	9	NA	NA	NA	NA	NA																																																												
1997/98	1997	NA	NA	pack	Hagfors	NA	NA	NA	6672516	445189	Hagfors_2	M-98-02	M-98-03	0.1250	Hag2	1998-12-15	1998-12-15	1998-12-14	1999-01-08	1998-12-14	1999-08-16	Hagfors_2	M-98-02	M-98-03	0.125	Hag2	Ny4	Gh	1991	1993	0.375	0	NA	NA	NA	0	0	0	0	1994	NA	1	0	NA	NA	7	NA	NA	NA	NA	NA																																																												
1998/99	1998	NA	2	pack	Hagfors	NA	S	NA	6668428	449866	Hagfors_2	M-98-02	M-98-03	0.1250	Hag2	1998-12-15	1998-12-15	1998-12-14	1999-01-08	1998-12-14	1999-08-16	Hagfors_2	M-98-02	M-98-03	0.125	Hag2	Ny4	Gh	1991	1993	0.375	0	NA	NA	NA	illegal_hunting_likely_	M-98-02;_M-98-03	MF	0	1994	NA	1	1	0	9	10	0	0	0	1	0			9_wolves_were_tracked_by_the_male_disappeared_in_mid-January																																																									
2003/04	2003	4.3.7.	18	scent_marking_pair	Halgan	Varmland/Dalarna	S	0304	6686872	418194	Halgan_1	M-04-01	M-02-06	0.2388	Hlg1	2004-01-20	2003-03-09	2004-01-20	apr-05	2002-01-25	2008-06-22	Halgan_1	M-04-01	M-02-06	0.23877	Hlg1	Fur	Ny5	2001	2001	0.1875	0.269531	NA	NA	NA	0	0	0	0	2003	NA	1	0	NA	0	0	0	1	0	1	1																																																												
2004/05	2004	NA	9	pack	Halgan	NA	S	NA	6691342	417267	Halgan_1	M-04-01	M-02-06	0.2388	Hlg1	2004-01-20	2004-01-20	2004-01-20	apr-05	2002-01-25	2008-06-22	Halgan_1	M-04-01	M-02-06	0.23877	Hlg1	Fur	Ny5	2001	2001	0.1875	0.269531	NA	NA	NA	0	0	0	0	2003	NA	1	1	1	6	0	1	0	0	1	1																																																												
2005/06	2005	NA	12	pack	Halgan	NA	S	NA	6685572	419877	Halgan_1	M-04-01	M-02-06	0.2388	Hlg1	2004-01-20	31-01-2006	2004-01-20	apr-05	2002-01-25	2008-06-22	Halgan_1	M-04-01	M-02-06	0.23877	Hlg1	Fur	Ny5	2001	2001	0.1875	0.269531	NA	NA	NA	0	0	0	0	2003	1	1	1	0	4	6	0	0	1	1	1																																																												
2006/07	2006	NA	10	pack	Halgan	NA	S	NA	6693542	420650	Halgan_2	G39-07	M-02-06	0.4368	Hlg2	NA	31-01-2006	NA	NA	2002-01-25	2008-06-22	Halgan_2	G39-07	M-02-06	0.436768	Hlg2	Hlg1	Ny5	NA	2001	0.23877	0.269531	NA	NA	NA	0	0	0	0	2006	NA	1	1	1	4	5	0	0	0	0	1																																																												
2007/08	2007	NA	11	pack	Halgan	NA	S	NA	6703658	415994	Halgan_2	G39-07	M-02-06	0.4368	Hlg2	NA	31-01-2006	NA	NA	2002-01-25	2008-06-22	Halgan_2	G39-07	M-02-06	0.436768	Hlg2	Hlg1	Ny5	NA	2001	0.23877	0.269531	NA	NA	NA	0	0	0	1	2006	1	1	1	0	3	6	0	0	1	0	1			"In_January_became_the_bitch_M02-06_tracked_alone,_then_another_until_m_turf_ground,_but_no_puppies"																																																									
2008/09	2008	4.3.5.	33	scent_marking_pair	Halgan	Varmland	S	0809	6706254	409611	Halgan_3	D-10-29	M-02-06	0.2498	Hlg3	NA	31-01-2006	NA	NA	2002-01-25	2008-06-22	Halgan_3	D-10-29	M-02-06	0.249756	Hlg3	Sil	Ny5	2006	2001	0.227051	0.269531	NA	NA	NA	0	0	0	1	2007	NA	0	0	0	0	0	0	1	1	0	1																																																												
2009/10	2009	4.3.14.	42	scent_marking_pair	Halgan	Varmland	S	0910	6714252	405237	Halgan_3	D-10-29	M-02-06	0.2498	Hlg3	NA	31-01-2006	NA	NA	2002-01-25	2008-06-22	Halgan_3	D-10-29	M-02-06	0.249756	Hlg3	Sil	Ny5	2006	2001	0.227051	0.269531	NA	NA	NA	hunting_license	D-10-29	M	0	2007	2	0	0	1	0	0	0	1	0	0	0			Ad_male_was_shot_to_licenses_Jan-10																																																									
1999/00	1999	4.3.4.	11	scent_marking_pair	Hasselfors	orebro	S	9900	6540331	471938	Hasselfors_1	M-01-05	M-01-04	0.3047	Has1	2001-02-10	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_1	M-01-05	M-01-04	0.304688	Has1	Hag2	Hag1	1997	1996	0.125	0.125	NA	NA	NA	0	0	0	0	1999	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2000/01	2000	NA	12	pack	Laxa-Hasselfors	NA	S	NA	6543888	476016	Hasselfors_1	M-01-05	M-01-04	0.3047	Has1	2001-02-10	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_1	M-01-05	M-01-04	0.304688	Has1	Hag2	Hag1	1997	1996	0.125	0.125	NA	NA	NA	0	0	0	0	1999	NA	1	1	1	8	0	1	0	1	1	1																																																												
2001/02	2001	NA	11	pack	Laxa-Hasselfors	NA	S	NA	6544328	472256	Hasselfors_1	M-01-05	M-01-04	0.3047	Has1	2001-02-10	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_1	M-01-05	M-01-04	0.304688	Has1	Hag2	Hag1	1997	1996	0.125	0.125	NA	NA	NA	"Mange,_put_to_sleep"	M-01-04	F	0	1999	2	1	1	0	7	8	0	0	1	1	1																																																												
2002/03	2002	NA	8	pack	Hasselfors	NA	S	NA	6547018	469994	Hasselfors_2	M-01-05	D-06-16	0.4336	Has2	2003-02-05	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_2	M-01-05	D-06-16	0.433594	Has2	Hag2	Has1	1997	2000	0.125	0.304688	NA	NA	NA	0	0	0	0	2001	NA	1	1	1	4	5	0	0	1	1	1																																																												
2003/04	2003	NA	11	pack	Hasselfors	NA	S	NA	6547737	471101	Hasselfors_2	M-01-05	D-06-16	0.4336	Has2	2003-02-05	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_2	M-01-05	D-06-16	0.433594	Has2	Hag2	Has1	1997	2000	0.125	0.304688	NA	NA	NA	0	0	0	0	2001	NA	1	1	0	6	7	0	0	1	1	1																																																												
2004/05	2004	NA	13	pack	Hasselfors	NA	S	NA	6545053	470546	Hasselfors_2	M-01-05	D-06-16	0.4336	Has2	2003-02-05	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_2	M-01-05	D-06-16	0.433594	Has2	Hag2	Has1	1997	2000	0.125	0.304688	NA	NA	NA	0	0	0	0	2001	NA	1	1	0	7	0	0	0	1	1	1																																																												
2005/06	2005	NA	15	pack	Hasselfors	NA	S	NA	6539891	464562	Hasselfors_2	M-01-05	D-06-16	0.4336	Has2	2003-02-05	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_2	M-01-05	D-06-16	0.433594	Has2	Hag2	Has1	1997	2000	0.125	0.304688	NA	NA	NA	0	0	0	0	2001	NA	1	1	0	6	0	0	0	1	0	1																																																												
2006/07	2006	NA	16	pack	Hasselfors	NA	S	NA	6549131	465347	Hasselfors_2	M-01-05	D-06-16	0.4336	Has2	2003-02-05	NA	2001-02-10	2005-01-23	NA	NA	Hasselfors_2	M-01-05	D-06-16	0.433594	Has2	Hag2	Has1	1997	2000	0.125	0.304688	NA	NA	NA	"Mange,_Trauma"	M-01-05;_D-06-16	MF	1	2001	0	1	1	0	4	0	0	0	0	0	0			The_bitch_died_in_August_The_uterus_had_five_scars._On_vinmtern_was_there_a_couple_of_marking_+_2_ungvargarar																																																									
2007/08	2007	NA	19	pack	Hasselfors	NA	S	NA	6543709	463234	Hasselfors_3	D-08-20	G37-07	0.3110	Has3	NA	NA	NA	NA	NA	NA	Hasselfors_3	D-08-20	G37-07	0.311035	Has3	Julu3	Has2	NA	NA	0.324219	0.433594	NA	NA	NA	0	0	0	1	2006	NA	1	1	1	5	0	0	0	1	0	1																																																												
2008/09	2008	NA	26	pack	Hasselfors	NA	S	NA	6546494	469461	Hasselfors_3	D-08-20	G37-07	0.3110	Has3	NA	NA	NA	NA	NA	NA	Hasselfors_3	D-08-20	G37-07	0.311035	Has3	Julu3	Has2	NA	NA	0.324219	0.433594	NA	NA	NA	Culling	D-08-20	M	0	2006	1	1	1	0	7	0	0	0	1	0	0			"The_male_D08-20_culling_Dec_08,_bitch,_no_new_partner_during_winter"																																																									
2009/10	2009	NA	26	pack	Hasselfors	NA	S	NA	6547387	468226	Hasselfors_4	D-10-39	G37-07	NA	Has4	NA	NA	NA	NA	NA	NA	Hasselfors_4	D-10-39	G37-07	NA	Has4	Has3	Has2	NA	NA	0.311035	0.433594	NA	NA	NA	Hunting_license	D-10-39	M	0	2009	1	0	0	NA	3	4	0	0	0	0	0																																																												
2010/11	2010	4.3.25.	56	scent_marking_pair	Hasselfors	orebro	S	1011	6546449	467739	Hasselfors_5	G107-11	G37-07	0.2568	Has5	NA	NA	NA	NA	NA	NA	Hasselfors_5	G107-11	G37-07	0.256836	Has5	Ack	Has2	NA	NA	0.305908	0.433594	NA	NA	NA	0	0	0	0	2010	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2011/12	2011	NA	33	pack	Hasselfors	NA	S	NA	6549114	468491	Hasselfors_5	G107-11	G37-07	0.2568	Has5	NA	NA	NA	NA	NA	NA	Hasselfors_5	G107-11	G37-07	0.256836	Has5	Ack	Has2	NA	NA	0.305908	0.433594	NA	NA	NA	0	0	0	0	2010	2	1	1	1	5	0	1	0	0	0	1																																																												
2009/10	2009	4.3.7.	35	scent_marking_pair	Havero	Jamtland/Gavleborg/V-norrland	S	0910	6903708	516650	Havero_1	D-11-19	G34-09	0.3330	Hav1	NA	NA	NA	NA	NA	NA	Havero_1	D-11-19	G34-09	0.333008	Hav1	Fur	Skra1	2004	NA	0.1875	0.469727	NA	2008	NA	0	0	0	0	2009	NA	0	0	NA	0	0	0	1	1	0	1																																																												
2010/11	2010	4.3.9.	40	scent_marking_pair	Havero	V-Norrland/Gavleborg/Jamtland	S	1011	6904710	515509	Havero_1	D-11-19	G34-09	0.3330	Hav1	NA	NA	NA	NA	NA	NA	Havero_1	D-11-19	G34-09	0.333008	Hav1	Fur	Skra1	2004	NA	0.1875	0.469727	NA	2008	NA	Hunting_license	D-11-19	M	0	2009	1	0	0	NA	0	0	0	1	1	0	0			The_male_was_shot_to_licenses_Jan-11																																																									
2011/12	2011	NA	39	scent_marking_pair	Havero	Vasternorrl./Gavleb.	S	1112	6905002	518374	Havero_2	G21-12	G34-09	0.5581	Hav2	NA	NA	NA	NA	NA	NA	Havero_2	G21-12	G34-09	0.558105	Hav2	Skra1	Skra1	NA	NA	0.469727	0.469727	NA	2008	NA	0	0	0	0	2011	2	0	0	NA	0	0	0	1	0	0	0																																																												
2009/10	2009	4.3.20.	48	scent_marking_pair	Hedbyn	orebro/Vastmanland	S	0910	6617849	527286	Hedbyn_1	M-10-05	M-10-06	0.4745	Hed1	2010-02-11	2010-02-11	2010-02-11	2010-04-13	2010-02-11	2011-02-15	Hedbyn_1	M-10-05	M-10-06	0.474548	Hed1	Klot	Klot	NA	2008	0.299316	0.299316	NA	NA	NA	Drowning	M-10-05	0	0	2009	1	0	0	NA	0	0	0	1	1	1	1			The_male_M10-15_found_dead_26/6-10																																																									
2010/11	2010	4.3.23.	54	scent_marking_pair	Hedbyn	orebro/Vastmanland	S	1011	6611300	528689	Hedbyn_2	G66-10	M-10-06	0.2980	Hed2	NA	2010-02-11	NA	NA	2010-02-11	2011-02-15	Hedbyn_2	G66-10	M-10-06	0.297974	Hed2	Ama1	Klot	NA	2008	0.270508	0.299316	NA	NA	NA	0	0	0	0	2010	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2011/12	2011	NA	29	pack	Hedbyn	NA	S	NA	6616075	530901	Hedbyn_2	G66-10	M-10-06	0.2980	Hed2	NA	2010-02-11	NA	NA	2010-02-11	2011-02-15	Hedbyn_2	G66-10	M-10-06	0.297974	Hed2	Ama1	Klot	NA	2008	0.270508	0.299316	NA	NA	NA	0	0	0	1	2010	1	1	1	1	3	0	0	0	0	0	1																																																												
2003/04	2003	4.3.5.	16	scent_marking_pair	Henvalen	Jamtland	S	0304	6962869	419276	Henvalen	D-04-07	D-04-08	NA	Henv	NA	NA	NA	NA	NA	NA	Henvalen	D-04-07	D-04-08	NA	Henv	Ny5	Fur	2002	2002	0.269531	0.1875	NA	NA	NA	culling	D-04-07;D-04-08	MF	0	2003	NA	1	0	NA	0	0	0	1	0	0	0																																																												
2008/09	2008	4.3.11.	39	scent_marking_pair	Herrestad	V_Gotaland	S	0809	6490137	311983	Herrestad	G4-09?	D-09-23	NA	Her	NA	NA	NA	NA	NA	NA	Herrestad	G4-09	D-09-23	NA	Her	NA	DE4	NA	2006	NA	0.290039	NA	NA	NA	culling	D-09-23	F	0	2008	NA	1	0	NA	0	0	0	1	0	0	0			Tiken_culling_Feb_09._The_male_no_new_partner_the_rest_of_winter																																																									
2010/11	2010	4.3.14.	45	scent_marking_pair	Homna	Dalarna/Gavleborg	S	1011	6787082	520804	Homna_1	G37-10_	D-10-74	0.1462	Hom1	NA	NA	NA	NA	NA	NA	Homna_1	G37-10	D-10-74	0.146179	Hom1	Gal	Ama1	NA	2008	0	0.270508	NA	NA	NA	culling	G38-08	F	0	2010	1	1	0	NA	0	0	0	1	0	0	0	F1	Ga	The_bitch_shot_in_culling_2010-12-18.																																																									
2011/12	2011	NA	46	scent_marking_pair	Homna	Dalarna/Gavleborg	S	1112	6762458	528443	Homna_2	G37-10_	G1-10	0.1411	Hom2	NA	NA	NA	NA	NA	NA	Homna_2	G37-10	G1-10	0.1411	Hom2	Gal	Lang3	NA	2009	0	0.4104	NA	2009	NA	0	0	0	0	2011	NA	1	0	NA	0	0	0	1	0	0	1	F1	Ga	"Plug_G37-10,_Female_G1-10"																																																									
2010/11	2010	4.3.16.	47	scent_marking_pair	Hastberget	Varmland/Dalarna	S	1011	6736466	394465	Hastberget	G21-10	G22-09	0.2920	Hast	NA	NA	NA	NA	NA	NA	Hastberget	G21-10	G22-09	0.291992	Hast	Jang4	app	2009	2008	0.429688	0.274902	2009	2008	NA	0	0	0	0	2010	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2011/12	2011	NA	48	scent_marking_pair	Hastberget	Varmland	S	1112	6739078	393793	Hastberget	G21-10	G22-09	0.2920	Hast	NA	NA	NA	NA	NA	NA	Hastberget	G21-10	G22-09	0.291992	Hast	Jang4	app	2009	2008	0.429688	0.274902	2009	2008	NA	0	0	0	0	2010	1	1	0	NA	0	0	0	1	0	0	1																																																												
2007/08	2007	4.3.5.	26	scent_marking_pair	Hackren	Jamtland	S_	0708	6995396	428103	"Hackren,Oviksfjallen"	D-08-03	D-08-04	0.4858	Hack	NA	NA	NA	NA	NA	NA	"Hackren,Oviksfjallen"	D-08-03	D-08-04	0.4858	Hack	Kyn1	Kyn1	NA	NA	0.293457	0.293457	NA	NA	NA	culling	D-08-03;D-08-04	MF	0	2007	0	1	0	NA	0	0	0	1	0	0	0																																																												
2011/12	2011	NA	41	scent_marking_pair	Idre	Dalarna/Jamtland	S	1112	6871830	392479	NA	G79-11	G82-10	0	Idr	NA	NA	NA	NA	NA	NA	Idre	G79-11	G82-10	0	Idr	Sil2	(immigrant)	2010	NA	0.316895	NA	NA	NA	NA	Translocated	G79-11;G82-10	MF	0	2010	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA			"The_pair_translocated_in_Dec_2011,_and_broke_up_after_that._The_male_was_illegally_killed_in_Jan_2012"																																																									
2003/04	2003	4.3.9.	20	scent_marking_pair	Jangen	Varmland	S	0304	6657656	407461	Jangen1	M-04-04	M-04-05	0.2949	Jan1	2004-01-30	2004-01-30	2004-01-30	2004-04-04	2004-01-30	2004-11-02	Jangen1	M-04-04	M-04-05	0.294922	Jan1	Ny5	Fil	2001	2000	0.269531	0.28125	NA	NA	NA	0	0	0	0	2003	NA	1	0	NA	2	2	NA	NA	NA	NA	NA																																																												
2004/05	2004	4.3.13.	27	scent_marking_pair	Jangen_II	Varmland_	S	0405	6660784	407529	Jangen1	M-04-04	M-04-05	0.2949	Jan1	2004-01-30	2004-01-30	2004-01-30	2004-04-04	2004-01-30	2004-11-02	Jangen1	M-04-04	M-04-05	0.294922	Jan1	Ny5	Fil	2001	2000	0.269531	0.28125	NA	NA	NA	Illegal_killing_likely	M-04-05;M-04-04	MF	0	2003	0	1	1	1	4	5	1	NA	NA	NA	NA																																																												
2005/06	2005	4.3.12.	27	scent_marking_pair	Jangen	Varmland	S_	0506	6664760	408281	Jangen3	M-05-08	M-06-05	0.3145	Jan3	2005-03-16	2006-01-31	2005-03-16	2005-05-03	2006-01-31	2007-07-01	Jangen3	M-05-08	M-06-05	0.314453	Jan3	Hag2	Ny5	1998	2002	0.125	0.269531	1998	NA	NA	0	0	0	0	2005	NA	1	0	NA	2	2	NA	NA	NA	NA	NA																																																												
2006/07	2006	NA	12	pack	Jangen	NA	S	NA	6654041	407732	Jangen3	M-05-08	M-06-05	0.3145	Jan3	2005-03-16	2006-01-31	2005-03-16	2005-05-03	2006-01-31	2007-07-01	Jangen3	M-05-08	M-06-05	0.314453	Jan3	Hag2	Ny5	1998	2002	0.125	0.269531	1998	NA	NA	0	0	NA	0	2005	NA	1	1	1	3	5	NA	NA	NA	NA	NA																																																												
2007/08	2007	NA	15	pack	Jangen	NA	S	NA	6660622	403584	NA	M-05-08	M-06-05	0.3145	Jan3	2005-03-16	2006-01-31	2005-03-16	2005-05-03	2006-01-31	2007-07-01	Jangen3	M-05-08	M-06-05	0.314453	Jan3	Hag2	Ny5	1998	2002	0.125	0.269531	1998	NA	NA	Culling	M-05-08	M	0	2005	1	1	1	0	7	7	NA	NA	NA	NA	NA																																																												
2008/09	2008	NA	NA	pack	Jangen	NA	S	NA	6660622	403584	NA	D-10-25	M-06-05	0.4297	Jan4	NA	2006-01-31	NA	NA	2006-01-31	2007-07-01	Jangen4	D-10-25	M-06-05	0.429688	Jan4	Ny5	Ny5	NA	2002	0.269531	0.269531	NA	NA	NA	0	0	0	0	2008	NA	1	0	NA	2	2	NA	NA	NA	NA	NA																																																												
2009/10	2009	NA	20	pack	Jangen	NA	S	NA	6660213	403730	NA	D-10-25	M-06-05	0.4297	Jan4	NA	2006-01-31	NA	NA	2006-01-31	2007-07-01	Jangen4	D-10-25	M-06-05	0.429688	Jan4	Ny5	Ny5	NA	2002	0.269531	0.269531	NA	NA	NA	hunting_license	D-10-25	M	0	2008	2	1	1	1	4	4	NA	NA	NA	NA	NA																																																												
2010/11	2010	NA	21	pack	Jangen	NA	S	NA	6657777	408827	NA	G13-08	M-06-05	0.2974	Jan5	NA	2006-01-31	NA	NA	2006-01-31	2007-07-01	Jangen5	G13-08	M-06-05	0.2974	Jan5	Lok1	Ny5	2007	2002	0.26709	0.269531	NA	NA	NA	0	0	0	0	2009	1	1	1	1	10	10	NA	NA	NA	NA	NA																																																												
2011/12	2011	NA	22	pack	Jangen	NA	S	NA	6666427	405603	NA	G6-12	M-06-05	0.1655	Jan6	NA	2006-01-31	NA	NA	2006-01-31	2007-07-01	Jangen6	G6-12	M-06-05	0.165527	Jan6	Kyn2	Ny5	NA	2002	0	0.269531	NA	NA	NA	0	0	0	0	2010	NA	1	1	1	6	6	NA	NA	NA	NA	NA																																																												
2002/03	2002	4.3.1.	9	scent_marking_pair	Julussa	Hedmark_	N	0203	6776320	314914	Julussa_1	G6-03	D-03-15	0.2573	Jul1	NA	NA	NA	NA	NA	NA	Julussa_1	G6-03	D-03-15	0.257324	Jul1	Grav	Gran	2000	2000	0.269531	0.214844	2000	NA	NA	0	0	0	0	2002	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2003/04	2003	NA	2	pack	Julussa	NA	N	NA	6781575	317773	Julussa_1	G6-03	D-03-15	0.2573	Jul1	NA	NA	NA	NA	NA	NA	Julussa_1	G6-03	D-03-15	0.257324	Jul1	Grav	Gran	2000	2000	0.269531	0.214844	2000	NA	NA	Emergency	D-03-15	F	0	2002	2	1	1	1	7	7	1	0	1	0	0			The_bitch_shot_in_Oct_03._Then_traced_the_5_animal_farm_to_February_when_a_new_female_showed_up._So_the_7_animals_innfattar_3_alpha_animals																																																									
2004/05	2004	NA	2	pack	Julussa	NA	N	NA	6781509	316132	Julussa_2	NA	NA	NA	Jul2	NA	NA	NA	NA	NA	NA	Julussa_2	NA	NA	NA	Jul2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	1	1	NA	5	5	0	0	0	0	1			New_bitch_in_February_04																																																									
2005/06	2005	NA	1	pack	Julussa	NA	N	NA	6784063	316394	Julussa_3	G6-03	M-03-05	0.3242	Jul3	NA	2009-03-12	NA	NA	2003-03-04	2009-12-24	Julussa_3	G6-03	M-03-05	0.324219	Jul3	Grav	Ny5	2000	2002	0.269531	0.269531	2000	NA	NA	0	0	0	0	2004	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA																																																												
2006/07	2006	NA	1	pack	Julussa	NA	N	NA	6783519	312595	Julussa_4	G6-03	M-03-05	0.3242	Jul3	NA	2009-03-12	NA	NA	2003-03-04	2009-12-24	Julussa_4	G6-03	M-03-05	0.324219	Jul3	Grav	Ny5	2000	2002	0.269531	0.269531	2000	NA	NA	0	0	0	0	2004	2	0	1	0	4	5	NA	NA	NA	NA	NA																																																												
2007/08	2007	NA	1	pack	Julussa	NA	N	NA	6783882	316099	Julussa_5	D-07-15	M-03-05	0.2908	Jul5	NA	2009-03-12	NA	NA	2003-03-04	2009-12-24	Julussa_5	D-07-15	M-03-05	0.290771	Jul5	Julu1	Ny5	2003	2002	0.257324	0.269531	2003	NA	NA	Emergency	D-07-15	M	1	2007	1	1	0	NA	3	4	0	0	1	0	0																																																												
2008/09	2008	NA	2	pack	Julussa	NA	N	NA	6785125	316382	Julussa_5	G23-07	M-03-05	0.2908	Jul5	NA	2009-03-12	NA	NA	2003-03-04	2009-12-24	Julussa_5	G23-07	M-03-05	0.290771	Jul5	Lov1	Ny5	2006	2002	0.439209	0.269531	2006	NA	NA	0	0	0	2	2007	1	1	1	1	6	0	0	0	1	0	0																																																												
2009/10	2009	4.3.3.	31	scent_marking_pair	Julussa	Hedmark	N	0910	6788667	319462	Julussa_6	G72-10	M-03-05	0.4297	Jul6	NA	2009-03-12	NA	NA	2003-03-04	2009-12-24	Julussa_6	G72-10	M-03-05	0.429688	38899	Ny5	Ny5	NA	2002	0.269531	0.269531	NA	NA	NA	0	0	0	0	2009	2	1	0	NA	0	0	0	1	0	0	1																																																												
2010/11	2010	4.3.2.	33	scent_marking_pair	Julussa	Hedmark	N	1011	6797693	315469	Julussa_8	G72-10	G16-12	0.1655	Jul8	NA	NA	NA	NA	NA	NA	Julussa_8	G72-10	G16-12	0.165527	Jul8	Ny5	Kyn2	NA	NA	0.269531	0	NA	NA	NA	0	0	0	0	2010	NA	1	0	NA	0	0	0	1	0	0	1																																																												
2011/12	2011	NA	1	pack	Julussa	NA	N	NA	6811197	306995	Julussa_8	G72-10	G16-12	0.1655	Jul8	NA	NA	NA	NA	NA	NA	Julussa_8	G72-10	G16-12	0.165527	Jul8	Ny5	Kyn2	NA	NA	0.269531	0	NA	NA	NA	0	0	0	1	2010	1	1	1	1	6	0	1	0	0	0	1																																																												
2003/04	2003	4.3.3.	14	scent_marking_pair	Juvberget	Hedmark/Varmland	NS	0304	6735554	354921	Juvberget_	M-06-06	M-05-10	0.2412	Juv	2006-02-01	2005-03-20	2006-02-01	2007-09-20	2005-03-20	2011-12-11	Juvberget_	M-06-06	M-05-10	0.2412	Juv	Fil	Tyn	2003	2001	0.28125	0.210938	NA	NA	NA	0	0	0	0	2003	NA	0	0	0	2	2	NA	NA	NA	NA	NA																																																												
2004/05	2004	4.3.4.	18	scent_marking_pair	Juvberget	Varmland/Hedmark	NS	0405	6754689	360517	Juvberget_	M-06-06	M-05-10	0.2412	Juv	2006-02-01	2005-03-20	2006-02-01	2007-09-20	2005-03-20	2011-12-11	Juvberget_	M-06-06	M-05-10	0.2412	Juv	Fil	Tyn	2003	2001	0.28125	0.210938	NA	NA	NA	0	0	0	0	2003	NA	0	0	0	2	2	NA	NA	NA	NA	NA																																																												
2005/06	2005	4.3.1.	16	scent_marking_pair	Juvberget	Varmland/Hedmark	NS	0506	6756443	359361	Juvberget_	M-06-06	M-05-10	0.2412	Juv	2006-02-01	2006-02-01	2006-02-01	2007-09-20	2005-03-20	2011-12-11	Juvberget_	M-06-06	M-05-10	0.2412	Juv	Fil	Tyn	2003	2001	0.28125	0.210938	NA	NA	NA	0	0	0	0	2003	NA	0	0	0	2	2	NA	NA	NA	NA	NA																																																												
2006/07	2006	4.3.2.	19	scent_marking_pair	Juvberget	Varmland/Hedmark	NS	0607	6756537	360761	Juvberget_	M-06-06	M-05-10	0.2412	Juv	2007-03-08	2007-03-14	2006-02-01	2007-09-20	2005-03-20	2011-12-11	Juvberget_	M-06-06	M-05-10	0.2412	Juv	Fil	Tyn	2003	2001	0.28125	0.210938	NA	NA	NA	0	0	0	0	2003	NA	0	0	0	2	2	NA	NA	NA	NA	NA																																																												
