winter	year	nb_in_report	nb_in_fig1	social_status	territory	county	country	NA	X	Y	name_in_Olof_file	ID_M	ID_F	F	abreviation_pedigree	date_collaring_M	date_collaring_F	marked_date_M	Last_radio_contact_M	marked_date_F	Last_radio_contact_F	territory	ID_M	ID_F	F	abreviation_pedigree	Birth_territory_male	Birth_territory_female	Birth_date_male	birth_date_female	F_male	F_female	Birth_date_male_(Olle)	birth_date_female_(Olle)	Komment	Death_Causes	ID_of_the_dead_one	Management_decisions_	Turnover_during_the_winter	Year_of_established_pairing	Left	Repr_ngn_gang	repro(green_color)_	First_litter	digit_min	digit_max	First_repro_(yellow)	Pair(letterP)	Blood_(b)_	Radio_collar(red)	pair_intact_end_winter_	Immigrants_status	Line	remarks																																																									
2009/10	2009	NA	18	pack	Acksjon	NA	S	NA	6682776	422309	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	1	0	6	6	0	0	1	0	1																																																												
2010/11	2010	NA	20	pack	Acksjon	NA	S	NA	6684684	420051	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	1	0	5	5	0	0	1	0	1																																																												
2011/12	2011	NA	20	pack	Acksjon	NA	S	NA	6685431	421628	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	1	0	6	6	0	0	0	0	1			4_puppies_identified																																																									
2003/04	2003	4.3.6.	17	scent_marking_pair	Amungen	Dalarna/Gavleborg	S	0304	6777300	533935	Amungen-1	M-05-02	M-05-12	0.2266	Amu1	2005-02-19	2005-03-22	2005-02-19	2005-04-23	2005-03-21	2007-01-01	Amungen-1	M-05-02	M-05-12	0.226563	Amu1	Fil	Ock1	2001	2001	0.28125	0.1875	NA	NA	NA	0	0	0	0	2003	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2004/05	2004	NA	6	pack	Amungen	NA	S	NA	6773761	537961	Amungen-1	M-05-02	M-05-12	0.2266	Amu1	2005-02-19	2005-03-22	2005-02-19	2005-04-23	2005-03-21	2007-01-01	Amungen-1	M-05-02	M-05-12	0.226563	Amu1	Fil	Ock1	2001	2001	0.28125	0.1875	NA	NA	NA	0	0	0	0	2003	NA	1	1	1	7	7	1	0	1	1	1																																																												
2005/06	2005	NA	8	pack	Amungen	NA	S	NA	6775502	537357	Amungen-1	M-05-02	M-05-12	0.2266	Amu1	2005-02-19	2005-03-22	2005-02-19	2005-04-23	2005-03-21	2007-01-01	Amungen-1	M-05-02	M-05-12	0.226563	Amu1	Fil	Ock1	2001	2001	0.28125	0.1875	NA	NA	NA	0	0	0	0	2003	NA	1	1	0	7	7	0	0	1	1	1																																																												
2006/07	2006	NA	7	pack	Amungen	NA	S	NA	6774295	542423	Amungen-1	M-05-02	M-05-12	0.2266	Amu1	2005-02-19	2005-03-22	2005-02-19	2005-04-23	2005-03-21	2007-01-01	Amungen-1	M-05-02	M-05-12	0.226563	Amu1	Fil	Ock1	2001	2001	0.28125	0.1875	NA	NA	NA	0	0	0	0	2003	1	1	1	0	4	4	0	0	0	0	1																																																												
2007/08	2007	NA	7	pack	Amungen	NA	S	NA	6775367	550568	Amungen-2	D-10-30	M-05-12	0.2607	Amu2	NA	2005-03-22	NA	NA	2005-03-21	2007-01-01	Amungen-2	D-10-30	M-05-12	0.260742	Amu2	Ny5	Ock1	2005	2001	0.269531	0.1875	NA	NA	NA	0	0	0	0	2007	NA	1	1	0	5	6	0	0	1	0	1																																																												
2008/09	2008	NA	9	pack	Amungen	NA	S	NA	6775995	541736	Amungen-2	D-10-30	M-05-12	0.2607	Amu2	NA	2005-03-22	NA	NA	2005-03-21	2007-01-01	Amungen-2	D-10-30	M-05-12	0.260742	Amu2	Ny5	Ock1	2005	2001	0.269531	0.1875	NA	NA	NA	0	0	0	0	2007	NA	1	1	0	5	5	0	0	1	0	1																																																												
2009/10	2009	NA	11	pack	Amungen	NA	S	NA	6778532	550399	Amungen-2	D-10-30	M-05-12	0.2607	Amu2	NA	2005-03-22	NA	NA	2005-03-21	2007-01-01	Amungen-2	D-10-30	M-05-12	0.260742	Amu2	Ny5	Ock1	2005	2001	0.269531	0.1875	NA	NA	NA	hunting_license	M-05-12;D-10-30	MF	0	2007	0	1	1	0	6	6	0	0	0	0	0			Paret_skjutet_pa_licens_5_jan-10._I_mars_ater_ett_revirmark_par.																																																									
1998/99	1998	NA	7	scent_marking_pair	Atndalen	Hedmark	N	9899	6863311	270513	Atndalen	D-01-18	D-01-21	NA	Atn	NA	NA	NA	NA	NA	NA	Atndalen	D-01-18	D-01-21	NA	Atn	Fre	Mitt	1996	1996	0.125	NA	NA	NA	NA	0	0	0	0	1998	NA	1	0	NA	0	0	0	1	1	0	1																																																												
1999/00	1999	NA	6	pack	Atndalen	NA	N	NA	6869354	271690	Atndalen	D-01-18	D-01-21	NA	Atn	NA	NA	NA	NA	NA	NA	Atndalen	D-01-18	D-01-21	NA	Atn	Fre	Mitt	1996	1996	0.125	NA	NA	NA	NA	0	0	0	0	1998	NA	1	1	1	7	8	1	0	1	0	1																																																												
2000/01	2000	NA	1	pack	Atndalen	NA	N	NA	6870236	274998	Atndalen	D-01-18	D-01-21	NA	Atn	NA	NA	NA	NA	NA	NA	Atndalen	D-01-18	D-01-21	NA	Atn	Fre	Mitt	1996	1996	0.125	NA	NA	NA	NA	helicopther__hunting	D-01-18;D-01-21	MF	0	1998	NA	1	1	0	8	8	0	0	0	0	0																																																												
2010/11	2010	4.3.4.	35	scent_marking_pair	Aurskog	Akershus	N	1011	6645793	299874	Aurskog_1	G69-10	G75-10	0.2542	Aur1	NA	NA	NA	NA	NA	NA	Aurskog_1	G69-10	G75-10	0.254242	Aur1	Ulr2	DE5	NA	NA	0.214844	0.256958	NA	NA	NA	0	0	0	0	2010	NA	1	0	0	0	0	0	1	0	0	1																																																												
