"","X","ID_individual","ID","ID_rand","Sex","x","y","Category","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","Clusters","wolf_density","dist"
"1780",1780,"G4-08",239,NA,"F",482567,6727035,"Established",2007,10.5980203902336,0.00945276454167945,0.0130359623427784,0.82253658817744,0.0426537683491464,0.112225639071713,0,0.921045391557212,0.291743909846017,0.389988438705079,291.727646800444,2.91349704087853,28.1503528029069,59.7177230144191,0.153605483960952,5,2,145136.919527734
"1781",1781,"G4-08",239,NA,"F",338976,6748162,"Natal",2007,9.35753899056698,0.000238168867744043,0.0337244931624096,0.816207562957774,0.123880547908369,0.0205135331675793,0.00610975700473604,0.815481378362848,0.273406542699698,0.0914593392707568,370.643024774599,3.4933031004286,32.9272390404977,8.18558514411025,0.469080061448439,6,3,145136.919527734
"1782",1782,"G40-08",132,1,"M",395635.651747905,6846388.73401892,"Available",2009,1.027,0.00582388930353905,0.00284706833294133,0.771504269645544,0.180656764173184,0.0389494876785405,0.000176310180541625,0.458909870987551,0.151389657769023,0.555612965609408,539.212888378435,1.94374948339542,18.4585867573881,17.7372067540844,0.0990865930388,4,1,132162.589351147
"1783",1783,"G40-08",132,2,"M",436100.653622941,6774998.58832245,"Available",2009,3.05661477784806,0.00642580764201198,0.0088586473481424,0.799854475856807,0.150207377366791,0.0339513724771723,0,0.819135311537398,0.22002123374305,0.570925487931734,409.453197835518,2.30350329962335,22.3377669533845,21.313340972776,0.167721019079202,5,2,132162.589351147
"1784",1784,"G40-08",132,3,"M",456718.712992353,6717438.32687044,"Available",2009,4.79685869535124,0.0117475670611685,0.0311852006840886,0.748108304215681,0.132758433341779,0.0765217191532446,0,0.975778513271324,0.26925763159563,0.26882946255294,305.164261867285,2.21799908541952,21.7407208777719,44.0973323877263,0.124500303645959,5,4,132162.589351147
"1785",1785,"G40-08",132,4,"M",392431.350886995,6646721.20889866,"Available",2009,8.98184768929551,0.0150892810660292,0.113496080181244,0.75181436679965,0.0204431702867407,0.0987596261114283,0,0.989196000339744,0.324080021597047,0.0215144107335403,195.295260909469,3.53520518131603,34.1804270662842,65.1421055544875,0.411193411423018,6,4,132162.589351147
"1786",1786,"G40-08",132,5,"M",445359.572622204,6730008.8613568,"Available",2009,4.09226824353173,0.0142979258243236,0.00872243463163154,0.760071795465482,0.155775295269364,0.0612168056014339,0,0.924636649204182,0.225257399177725,0.315035777628731,341.446550381695,2.24584425239802,21.6469199700157,49.1469895969128,0.128969806528997,5,3,132162.589351147
"1787",1787,"G40-08",132,6,"M",451847.520325938,6699856.58781266,"Available",2009,4.02075327516368,0.00800705048861083,0.0217014646584439,0.77024388514369,0.145055646341596,0.0548667388986023,0,0.932230435894104,0.285659362812708,0.169106583557557,326.741904813273,2.63271649891287,25.5930921062714,32.3070904302817,0.14631645050195,5,5,132162.589351147
"1788",1788,"G40-08",132,7,"M",464680.12388553,6771567.51248228,"Available",2009,5.74678727826541,0.0382994574093415,0.034218949001037,0.782473731683218,0.0575487257689438,0.0873683001776386,0,1.0988645786643,0.285935763263308,0.695852279018059,299.595548957371,2.68188062163182,25.6676998296808,141.319426572459,0.152444394908304,5,2,132162.589351147
"1789",1789,"G40-08",132,8,"M",335266.476221537,6689309.38756614,"Available",2009,13.2546960984243,0.00509244421021849,0.107667870847885,0.77678726734529,0.042957065112521,0.0539885026111693,0.0149376135694519,0.810479291395577,0.396528774941779,0.0310465613774382,273.267333393646,3.79227965549825,36.1129448263155,15.3304986926614,0.469959937599901,6,2,132162.589351147
