"","ID","ID_rand","Category","ID_individual","Sex","x","y","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","wolf_density","Clusters"
"2028",156,NA,"Natal","M-03-07","F",290471,6851186,2001,0.874847098012378,0.000860319739545664,0.0139259258427068,0.815277023765898,0.0772057133999586,0.0276298440844586,0.0658828679333771,0.393037857299105,0.155147583141213,0.0785154660279943,618.815994462036,6.63905742356717,61.9627517772973,10.3127845974685,0.171944672994513,2,6
"2029",157,1,"Available","G1-08","F",321324.375283452,6538712.08759297,2007,9.67687890808235,0.00459146487110955,0.0686449723671563,0.744315077279389,0.0717498260284012,0.109830720279981,0,0.842558430353642,0.349949043438113,0.000163727045007131,161.794594622584,2.0313658180239,20.8022509339198,36.7254309322167,0.233265811479854,4,1
"2030",157,2,"Available","G1-08","F",291360.396349299,6531826.01924541,2007,22.4605313415373,0.0156655919244374,0.131976994571777,0.672221630587059,0.0355279828277192,0.14473102716695,5.36955345996322e-05,0.682574250257146,0.39812618991623,7.59763411567518e-05,78.5458983659154,2.07467470094038,20.7898377492942,82.1652891446236,0.174171630773262,3,1
"2031",157,3,"Available","G1-08","F",295528.784979059,6529776.46937478,2007,20.8153643700325,0.0105751709951854,0.134896626057783,0.716054195787226,0.0515088856507973,0.0865703497461388,0,0.750494333964036,0.400899342571225,7.15428303133635e-05,97.6059663060772,2.05033632963943,20.4802107660749,53.2133815363818,0.177765623543433,0,1
"2032",157,4,"Available","G1-08","F",307002.497647401,6520054.07576128,2007,13.1984600872789,0.00175026421532229,0.136570918672903,0.732824348606986,0.0655961282760714,0.062878652823986,0,0.905349192207683,0.402166862714901,5.07834623468318e-05,132.146402039602,1.99138152826153,20.0590023835154,31.8619267719193,0.174663968781063,1,1
"2033",157,5,"Available","G1-08","F",304420.044500563,6563740.90020233,2007,26.7048160432381,0.0120291067243779,0.0903047769430159,0.763207993994892,0.0265507131085821,0.107447604257925,0.00106345903364109,0.589509157449007,0.379069478323484,0.000390589121790564,145.238801547024,2.26708590875703,22.3598373923323,16.7038945819004,0.266838300834247,3,1
"2034",157,6,"Available","G1-08","F",311606.689003536,6555246.88893989,2007,20.5294382972186,0.0053758790460727,0.049522362679756,0.759018838077554,0.0449787651758528,0.140538226527533,0.000273141967663212,0.650931476649932,0.326861785829311,0.000306971531387491,158.652564149935,2.25202456797199,22.2910888462285,16.9750300170072,0.249113933474221,1,1
"2035",157,7,"Available","G1-08","F",317851.045755927,6552329.99223848,2007,13.8450328333572,0.00116913535908515,0.0303183650172141,0.781355111603742,0.0500440234320122,0.136694712333918,4.56152639152169e-05,0.700527772802601,0.316333867076481,0.000300145792044423,165.775162893388,2.14794983448393,21.7883982243159,19.557291085625,0.244553838347316,1,1
"2036",157,8,"Available","G1-08","F",320479.095650015,6558578.7741514,2007,10.5867566600767,0.00124370480335786,0.0389017407459119,0.772507759939345,0.0216501067969917,0.165661518205974,0,0.678616567183349,0.309584536934485,0.000419774672473838,155.951928188317,2.13560206026438,21.5931131793272,22.8473377746747,0.253328231125388,1,1
"2037",157,9,"Available","G1-08","F",312759.982273042,6523043.82924605,2007,11.9806540951783,0.00516865499995207,0.138369891961717,0.70681431132563,0.0857008247641923,0.0638456355973481,0,0.894948762440251,0.38651887366856,6.37170039697871e-05,143.263431330544,1.87281928778838,18.9219055230493,43.8028338340773,0.183844031951502,3,1
"2038",157,10,"Available","G1-08","F",295172.782785002,6512868.53278769,2007,13.5807902005434,0.014197336046028,0.177341650275036,0.670896955609858,0.0341374945095049,0.103632118470421,0,0.837919257588618,0.413640416404294,3.44219482852913e-05,84.9312779135627,1.97540212208671,20.8249003935045,77.1364850207837,0.160915903164,1,1
"2039",157,11,"Available","G1-08","F",318070.518595836,6549521.37817416,2007,13.7136534667412,0.00402549159043626,0.0301477047507101,0.770943432510799,0.0559700525758985,0.138585365296805,4.52055459758587e-05,0.723516615148552,0.321308922236746,0.00026326390297124,166.059419827628,2.10980826037577,21.4885264162724,30.6845413499248,0.243110922824434,2,1
"2040",157,NA,"Established","G1-08","F",308855,6543143,2007,21.2041921124547,0.00409633289011915,0.043501849634022,0.753511537498385,0.0786526587895621,0.119650589312913,4.53867305288681e-05,0.721739347688182,0.353098963894845,0.000165218299941403,156.253223350212,2.25821802483799,22.1544978033231,30.9522766426988,0.229108132920815,2,1
"2041",157,NA,"Natal","G1-08","F",309451,6532743,2007,16.7447100144102,0.0051519903440097,0.086453253134186,0.726591573885486,0.0902258094293457,0.091273987201922,0,0.814182036207291,0.369225856534509,0.000100031336851618,151.880261483789,2.03738909703541,20.0621788703405,37.3126983948345,0.209895658572834,3,1
"2042",158,1,"Available","G80-11","F",510333.124304116,6745776.35316939,2011,9.28855971155862,0.034983372707286,0.0620878341043703,0.740572445947715,0.0256522465215846,0.136737044102877,0,0.890116972963568,0.354690332138236,0.566103571069077,264.56019879148,2.57344953188777,24.7706402112728,187.182654993201,0.240751324754529,7,1
"2043",158,2,"Available","G80-11","F",495270.435139286,6753908.07022484,2011,6.56413427710555,0.031433614453218,0.052236767828308,0.607326565798438,0.0486503387864382,0.26011315875494,0,0.88259368850507,0.31766872023504,0.630708168351351,222.767840894718,1.31810244136597,12.5481286074763,190.77663556247,0.241645181877073,6,4
"2044",158,3,"Available","G80-11","F",507946.459774011,6752106.60890882,2011,6.739073347707,0.0259313434328605,0.0516675657476786,0.747349733157976,0.0398723809505947,0.134975315254467,0,0.881520712660887,0.327951230729283,0.619376214757,264.270311477562,2.12290702516796,20.3711719647753,138.227369063768,0.242676450562532,6,1
"2045",158,4,"Available","G80-11","F",477435.530285747,6742836.15486429,2011,8.36041592029146,0.0158544266022124,0.0227026417651931,0.690581895945413,0.0379336927816636,0.232517583192202,0,0.936520225220508,0.270673202696015,0.505839750347313,270.247632093248,2.45495541793381,23.7843021691392,85.3760876713669,0.228683656808166,7,1
"2046",158,5,"Available","G80-11","F",491777.978326746,6742920.20270002,2011,9.35541158646915,0.0394829757436576,0.0561725456331573,0.612469760360817,0.0221566049859681,0.269226390733059,0,0.848081078581915,0.339138604361104,0.533431443906507,224.981037827139,2.12241205590492,20.1948762581011,216.405313272228,0.231753385738824,3,4
"2047",158,6,"Available","G80-11","F",486541.308526852,6755431.85219312,2011,6.41396077136201,0.0353807085572496,0.0385616286425811,0.597784641930876,0.0499754674098542,0.278120237618162,0,0.925865195564289,0.307696366214669,0.631325898377179,215.534346698518,1.31508117908246,12.554618980869,187.358436020758,0.240693877688883,8,4
"2048",158,7,"Available","G80-11","F",501228.195695867,6754848.69294897,2011,6.16138820485885,0.0264694070619485,0.049270629733908,0.676627857673662,0.056389405829775,0.191462453452586,0,0.883160140490768,0.316319555458495,0.642187773575506,244.719503743228,1.56597759987363,14.9792760292147,149.780332145763,0.243548546116808,3,1
"2049",158,8,"Available","G80-11","F",501280.025462727,6731893.77004941,2011,11.7288773767085,0.0368503940303809,0.0738889294249709,0.722728058796876,0.0131087844099491,0.153007315540368,0,0.930827951810469,0.389767155836137,0.451107671280081,245.362094073744,2.85236144953676,27.4291094179251,189.391079974853,0.229461269846928,7,1
"2050",158,9,"Available","G80-11","F",495848.891609604,6748322.42386375,2011,7.91839194013747,0.0380751031029881,0.0571063327326617,0.610191095711515,0.0340502961389953,0.260157349233043,0,0.855367991133551,0.337955816355079,0.583988515863715,219.625494296564,1.67469898717417,15.915616308773,215.365018973902,0.238115356495856,3,4
"2051",158,10,"Available","G80-11","F",504039.482738428,6736528.72215908,2011,11.1952200100552,0.0432303489823645,0.0682015152513824,0.710554440520192,0.0133745403147359,0.164145791632504,0,0.91451541441679,0.388725704916375,0.490020001506032,245.209794578676,2.71642160143299,26.1368979987131,222.949686319762,0.233293498411444,4,4
"2052",158,11,"Available","G80-11","F",483134.712923015,6749607.37641127,2011,7.50467287785663,0.0328148406788195,0.0384292200096627,0.628377544441157,0.03554244464108,0.264536543833903,0,0.910247230993311,0.300423287847363,0.575327120353302,226.529806927164,1.80254181534723,17.2765375048967,161.564124897108,0.235672316154044,3,4
"2053",158,NA,"Established","G80-11","F",482104,6731255,2011,10.4049963926788,0.0123179081283522,0.0132887154063569,0.771819080673543,0.0415860164000883,0.160365573689094,0,0.90478782148036,0.2904079513377,0.422195879191104,291.402896710217,2.81578195452889,27.169859028315,73.5610500629545,0.220254502042932,5,5
"2054",158,NA,"Natal","G80-11","F",522414,6734214,2011,17.6323156482297,0.0158339770055662,0.0277566469749185,0.853408776100467,0.0278846963871708,0.0748831550265765,0,1.01466285053618,0.37600556137484,0.464007991832732,264.498963282482,3.20097834994963,30.9620697171399,86.0691005321918,0.236184985021441,6,1
"2055",159,1,"Available","M-02-09","F",318648.324258026,6643058.15313909,2002,12.9405061007842,0.00277699735155644,0.052959327037061,0.788093301040569,0.0706525297211916,0.0793430801509714,0.00615940786193017,0.626497607163055,0.349563520448195,0.00798154766391192,237.739773299174,3.07688961677503,30.4792615658076,14.825133357114,0.447203703070423,3,3
