MALES	ID	Birth_territory	Y_birth	X_birth	Established_territory	Y_Established	X_Established	Year establishment	First Winter	Secondary dispersal	
F	D-11-17	Julu3	6781369	315419	Tans1	6682803	497174	2009	2009/10	No	
F	G47-11	Kyn2	6747286	337318	Tans2	6693175	505139	2009	2011/12	No	
F	G17-09	Lov2	6665126	464150	Tna1	6787741	420546	2008	2008/09	No	
F	G33-09	Ack	6678775	425503	Tna2	6796044	413303	2009	2009/10	No	
F	M-10-01	Vox	6784708	535239	Ten_1	6834829	510985	2006	2006/07	No	
F	G4-06	Fur	6789434	511936	Tis	6749458	393683	2001	2001/02	No	
F	G11-10	Ny5	6731608	366248	Tra	6702108	393722	2009	2009/10	No	
F	M-02-04	Fre	6673454	464668	Tyn	6682579	431381	2000	2000/01	No	
F	M-06-02	Hlg1	6687929	418446	Ulr2	6642639	482651	2005	2005/06	Yes	
F	G48-12	Ulr3	6609179	475183	Ulr4	6629288	492722	2011	2011/12	No	
F	M-06-01	Grav	6646437	483645	Utt	6618211	535746	2003	2003/04	No	
F	G8-05	Fur	6789434	511936	Vam1	6788343	464948	2005	2005/06	No	
F	G29-07	Fur	6789434	511936	Vam2	6794005	470030	2005	2007/08	Yes	
F	G16-10	Kyn2	6747286	337318	Var1	6772510	362711	2009	2009/10	No	
F	M-09-07	Ful1	6814505	395268	Var2	6773019	362068	2010	2010/11	No	
F	G15-11	app	6704600	427402	Varn	6704551	403714	2011	2011/12	No	
F	G51-11	Snd2	6663996	361527	Vass	6867115	359268	2011	2011/12	No	
F	G23-11	Lok2	6602668	472284	Vill	6575111	486048	2011	2011/12	No	
F	G7-05	Fur	6789434	511936	Vox	6805933	517715	2004	2004/05	No	
